id,eta_th1_SAEM,eta_th2_SAEM,eta_th1_mean,eta_th2_mean,eta_th1_mode,eta_th2_mode,eta_th1_sd,eta_th2_sd,treatment
245,0.518645,-0.0439671,0.582237,-0.0405985,0.684007,-0.0238353,0.961001,0.212386,1
246,-0.386492,-0.0177976,-0.367649,-0.0108985,-0.296214,-0.00975465,1.00795,0.204533,1
247,-0.419182,-0.0154059,-0.371854,-0.00350143,-0.296214,-0.00975457,1.06347,0.191461,1
248,-0.401706,-0.0172236,-0.405271,-0.0090831,-0.296214,-0.0097546,1.08391,0.19857,1
249,-0.414584,-0.00301256,-0.371082,-0.0156586,-0.296214,-0.00975454,1.07613,0.194731,1
250,-0.351662,-0.00948733,-0.455777,-0.0193713,-0.296214,-0.00975471,1.04254,0.20291,1
251,-0.408392,-0.0218308,-0.384689,-0.00951134,-0.296214,-0.00975476,0.994233,0.20859,1
252,-0.33513,-0.0135075,-0.381184,-0.0276006,-0.296214,-0.00975454,1.00395,0.198725,1
253,-0.339394,-0.00341627,-0.420533,-0.00810416,-0.296214,-0.00975472,1.05006,0.200578,1
254,0.500938,0.0487741,0.522009,0.0504657,0.644687,0.0592389,0.914561,0.198932,1
255,0.484182,0.0853201,0.43176,0.083894,0.622589,0.10013,0.963575,0.197875,1
256,-0.41812,-0.0221676,-0.439893,-0.0265321,-0.296214,-0.00975454,1.05062,0.210707,1
257,-0.410287,-0.0127959,-0.486358,-0.0213611,-0.296214,-0.00975471,1.05464,0.196869,1
258,0.512074,0.0244265,0.525513,0.0367364,0.644687,0.0592389,0.898225,0.185341,1
259,-0.459172,-0.013429,-0.388114,0.00250345,-0.296214,-0.00975458,1.01595,0.203345,1
260,0.566804,0.0769182,0.491363,0.0832578,0.622589,0.10013,0.969821,0.199991,1
261,-0.363986,-0.0206249,-0.418841,-0.0116063,-0.296215,-0.00975465,1.01475,0.204147,1
262,-0.343332,-0.0124304,-0.387647,-0.0184346,-0.296214,-0.00975456,0.986718,0.202776,1
263,-0.389395,-0.0130707,-0.373813,-0.0247044,-0.296214,-0.00975456,1.01269,0.207051,1
264,-0.445266,-0.0173466,-0.399623,-0.0134495,-0.296215,-0.00975461,1.05063,0.202468,1
265,-0.407633,-0.0153855,-0.440876,-0.00793637,-0.296214,-0.00975459,1.00378,0.200097,1
266,-0.417568,-0.0123653,-0.436525,-0.0133478,-0.296214,-0.00975467,1.02853,0.216791,1
267,0.56192,0.0112805,0.569601,0.0080954,0.665103,0.0178898,0.922383,0.19931,1
268,0.55753,-0.0323751,0.601249,-0.0458317,0.684007,-0.0238353,0.913987,0.201326,1
269,-0.443105,-0.0250091,-0.365959,-0.0177767,-0.296214,-0.00975459,1.02765,0.206022,1
270,-0.434939,-0.0141226,-0.36832,-0.00832476,-0.296214,-0.00975459,0.976813,0.197423,1
271,0.587315,-0.00116543,0.542105,0.00516145,0.665102,0.0178899,0.921599,0.206178,1
272,-0.410456,-0.0216167,-0.460028,-0.0155094,-0.296214,-0.0097547,1.04835,0.215605,1
273,1.43834,0.374005,1.41451,0.39529,1.52293,0.406566,0.797633,0.16238,1
274,-0.410172,-0.0110506,-0.39928,-0.00537329,-0.296214,-0.00975469,1.03093,0.203087,1
