rep,id,beta0,gamma0,delta0,eta_beta0,eta_gamma0,eta_delta0
1,82,-0.355682342340732,-7.0609381051943,-2.94973094238015,-0.0503800406163063,-0.0242784497415443,0.321455160837138
1,83,-0.233192755863599,-7.14669279076453,-3.57159913730155,0.0721095458608267,-0.110033135311769,-0.300413034084265
1,84,-0.484179194593458,-6.63734638672869,-2.61170570940048,-0.178876892869033,0.399313268724065,0.659480393816813
1,85,-0.298845787790434,-6.88165181999005,-3.54771986755339,0.00645651393399116,0.155007835462704,-0.276533764336105
1,86,-0.217040435762014,-7.01451946840902,-3.8818530381776,0.0882618659624112,0.0221401870437363,-0.610666934960311
1,87,-0.43146652885519,-7.25245954153702,-3.29424639989819,-0.126164227130765,-0.215799886084263,-0.0230602966809017
1,88,-0.503435151470214,-6.74902415899491,-3.65205455347395,-0.198132849745788,0.28763549645785,-0.380868450256663
1,89,-0.181980575280984,-7.13818219287699,-3.24981629683326,0.123321726443441,-0.101522537424238,0.0213698063840244
1,90,-0.26181639138934,-7.04483186783349,-2.35262391765459,0.0434859103350852,-0.00817221238073618,0.918562185562696
1,91,-0.503524863460296,-6.8896941531512,-3.07885631299414,-0.19822256173587,0.14696550230156,0.19232979022315
1,92,-0.682823114265504,-7.10593520156024,-3.56427921135546,-0.377520812541079,-0.0692755461074803,-0.293093108138172
1,93,-0.258170484928722,-7.19545782055004,-2.18527210766809,0.0471318167957038,-0.158798165097286,1.0859139955492
1,94,-0.25751532957585,-7.40352194373377,-3.04270739123419,0.0477869721485749,-0.366862288281011,0.228478711983101
1,95,-0.211809568805831,-7.05973443617833,-2.63742407990441,0.0934927329185947,-0.0230747807255725,0.633762023312877
1,96,-0.366208416593867,-6.58025008467487,-2.84137875267343,-0.0609061148694413,0.456409570777891,0.429807350543858
1,97,-0.294553686704309,-7.22882856138655,-3.52048374210594,0.0107486150201168,-0.192168905933791,-0.249297638888653
1,98,-0.397836734869303,-7.06139564501759,-3.11399251717204,-0.0925344331448779,-0.0247359895648298,0.157193586045244
1,99,-0.361579920580165,-7.15652891697829,-3.1507381045209,-0.0562776188557398,-0.119869261525528,0.120447998696387
1,100,-0.482910498939003,-7.30861174722203,-2.65375240240271,-0.177608197214577,-0.271952091769268,0.617433700814577
1,101,-0.319838753530452,-7.26963009365272,-3.04260652497273,-0.0145364518060263,-0.23297043819996,0.228579578244557
1,102,-0.382400768004334,-7.4122791138518,-3.45156040810877,-0.0770984662799088,-0.375619458399044,-0.180374304891485
1,103,-0.459689733544528,-7.02212577760616,-3.35460993295658,-0.154387431820102,0.0145338778466018,-0.083423829739294
1,104,-0.451176129459823,-6.61675141212949,-3.7707542994277,-0.145873827735398,0.419908243323266,-0.499568196210408
1,105,-0.479501860380018,-7.36686570987574,-3.19290504473849,-0.174199558655592,-0.330206054422982,0.0782810584787996
1,106,-0.369837463280926,-6.97212196341399,-2.8592479285028,-0.0645351615565009,0.0645376920387664,0.411938174714489
1,107,-0.332063069581967,-6.93840491130487,-3.07885125234587,-0.0267607678575416,0.0982547441478827,0.192334850871417
1,108,-0.253062983410335,-7.18790548731654,-2.92283937982233,0.0522393183140903,-0.151245831863778,0.348346723394963
1,109,-0.632286206654264,-6.58274360923443,-3.31050090642995,-0.326983904929839,0.453916046218323,-0.0393148032126627
1,110,-0.4851644124536,-7.3050169544143,-3.4640181397375,-0.179862110729175,-0.268357298961538,-0.192832036520207
1,111,-0.5007060430849,-7.0583437449813,-3.3171751924221,-0.195403741360475,-0.0216840895285442,-0.0459890892048076
1,112,-0.42655867965846,-7.04202616494844,-3.40251032388479,-0.121256377934035,-0.00536650949567985,-0.131324220667498
1,113,-0.193520326250731,-7.49698859666698,-2.74315159577582,0.111781975473695,-0.460328941214223,0.528034507441467
1,114,-0.42047708928527,-6.84118279444007,-2.69687650674595,-0.115174787560844,0.195476861012684,0.574309596471343
1,115,-0.188287733151577,-7.17557100648694,-2.62702956548099,0.117014568572848,-0.138911351034184,0.644156537736302
1,116,-0.31429848914372,-6.78354022541117,-3.04993771014526,-0.00899618741929498,0.253119430041584,0.22124839307203
1,117,-0.728554330799368,-6.94843231117011,-2.4843909571659,-0.423252029074943,0.088227344282644,0.786795146051385
1,118,-0.502907534378255,-7.50325480692093,-3.85995627789623,-0.19760523265383,-0.466595151468177,-0.588770174678943
