id,th1_SAEM,th2_SAEM,th3_SAEM,th4_SAEM,th1_mean,th2_mean,th3_mean,th4_mean,th1_mode,th2_mode,th3_mode,th4_mode,th1_sd,th2_sd,th3_sd,th4_sd
110,13.8414,1.35369,2.57116,-5.04389,13.5406,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.45918,0,0,0
111,14.1742,1.35369,2.57116,-5.04389,14.8715,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.38068,0,0,0
112,13.6088,1.35369,2.57116,-5.04389,13.9713,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.66672,0,0,0
113,14.3131,1.35369,2.57116,-5.04389,14.1502,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.13069,0,0,0
114,14.4659,1.35369,2.57116,-5.04389,13.6914,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.3812,0,0,0
115,14.3543,1.35369,2.57116,-5.04389,14.2135,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.72387,0,0,0
116,15.2854,1.35369,2.57116,-5.04389,14.7306,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.43231,0,0,0
117,13.4936,1.35369,2.57116,-5.04389,14.7456,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.80698,0,0,0
118,13.9768,1.35369,2.57116,-5.04389,15.5636,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.61948,0,0,0
119,14.7025,1.35369,2.57116,-5.04389,14.248,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.99544,0,0,0
120,14.528,1.35369,2.57116,-5.04389,15.1732,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.97921,0,0,0
121,5.76639,1.35369,2.57116,-5.04389,6.38132,1.35362,2.59439,-5.0826,5.70106,1.35362,2.59439,-5.0826,1.8677,0,0,0
122,14.5234,1.35369,2.57116,-5.04389,13.9425,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.4875,0,0,0
123,14.5158,1.35369,2.57116,-5.04389,13.9809,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.70881,0,0,0
124,14.1632,1.35369,2.57116,-5.04389,14.4682,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.3199,0,0,0
125,14.0793,1.35369,2.57116,-5.04389,14.0019,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.30241,0,0,0
126,13.4018,1.35369,2.57116,-5.04389,14.0373,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.37479,0,0,0
127,13.7173,1.35369,2.57116,-5.04389,13.3879,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.80766,0,0,0
128,5.87485,1.35369,2.57116,-5.04389,5.84581,1.35362,2.59439,-5.0826,5.70105,1.35362,2.59439,-5.0826,1.2249,0,0,0
129,13.8172,1.35369,2.57116,-5.04389,14.037,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.30325,0,0,0
130,14.5488,1.35369,2.57116,-5.04389,13.486,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.9657,0,0,0
131,14.0794,1.35369,2.57116,-5.04389,15.3763,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,5.4823,0,0,0
132,14.4315,1.35369,2.57116,-5.04389,13.8617,1.35362,2.59439,-5.0826,12.1152,1.35362,2.59439,-5.0826,4.8325,0,0,0
