rep,id,eta_th1,eta_th2,eta_th3,eta_th4
1,198,2.84072886580291,0,0,0
2,198,-3.48075133209167,0,0,0
1,199,1.40230359644587,0,0,0
2,199,-5.91479314118292,0,0,0
1,200,3.58956681250457,0,0,0
2,200,-5.45971424535252,0,0,0
1,201,-17.1722597245145,0,0,0
2,201,-13.5233777550481,0,0,0
1,202,3.41484277806845,0,0,0
2,202,0.224224162191234,0,0,0
1,203,-11.7045401750116,0,0,0
2,203,-11.312080717002,0,0,0
1,204,-5.96096738224751,0,0,0
2,204,-8.44403346362613,0,0,0
1,205,-10.4855116045516,0,0,0
2,205,-11.8640576624311,0,0,0
1,206,10.8504467348813,0,0,0
2,206,-3.3663771465743,0,0,0
1,207,9.1396518490888,0,0,0
2,207,-0.167909813557951,0,0,0
1,208,-0.127353333822359,0,0,0
2,208,-2.4593561944457,0,0,0
1,209,5.71458977623514,0,0,0
2,209,-4.82036764491427,0,0,0
1,210,1.06334795497773,0,0,0
2,210,-2.79906592646418,0,0,0
1,211,-4.65172831819962,0,0,0
2,211,9.97786231606004,0,0,0
1,212,4.90145453945237,0,0,0
2,212,1.85697923381612,0,0,0
1,213,-1.73148545287157,0,0,0
2,213,4.37248094003909,0,0,0
1,214,0.503959105257088,0,0,0
2,214,0.116730729668334,0,0,0
1,215,-2.03982359947619,0,0,0
2,215,-4.2630313834599,0,0,0
1,216,11.2301840738367,0,0,0
2,216,-4.92090956515898,0,0,0
1,217,-0.821994269064594,0,0,0
2,217,-2.52641300682898,0,0,0
1,218,6.43779768324319,0,0,0
2,218,4.55369117953382,0,0,0
1,219,2.89685812098048,0,0,0
2,219,6.64976797278675,0,0,0
1,220,7.19151706596204,0,0,0
2,220,5.80294351154772,0,0,0
1,221,0.318083180258215,0,0,0
2,221,-4.1145119447941,0,0,0
1,222,-6.5682412489459,0,0,0
2,222,3.39894921610555,0,0,0
1,223,-3.11549879719813,0,0,0
2,223,1.23238222006881,0,0,0
1,224,4.47869844970235,0,0,0
2,224,3.92718188741147,0,0,0
1,225,-3.63513455841112,0,0,0
2,225,3.51315961763765,0,0,0
1,226,-0.00625218506233415,0,0,0
2,226,6.58562052647067,0,0,0
1,227,1.85205677063762,0,0,0
2,227,-2.4810957477758,0,0,0
1,228,8.93205456473994,0,0,0
2,228,0.456554354465957,0,0,0
1,229,-7.98274441782653,0,0,0
2,229,-6.07807765485329,0,0,0
1,230,-4.22120345221921,0,0,0
2,230,5.39976861018846,0,0,0
1,231,2.84323939500761,0,0,0
2,231,-2.6377195103674,0,0,0
1,232,12.6798086833216,0,0,0
2,232,8.30456628920231,0,0,0
1,233,-1.71014606304235,0,0,0
2,233,12.0819594020877,0,0,0
1,234,1.22173563826904,0,0,0
2,234,1.00743473262404,0,0,0
1,235,-4.38091784474016,0,0,0
2,235,1.80601152180549,0,0,0
1,236,7.28392918902673,0,0,0
2,236,-4.16546174454656,0,0,0
1,237,-6.53168677499672,0,0,0
2,237,7.48413628175426,0,0,0
1,238,-5.0817774969972,0,0,0
2,238,-6.03407445117194,0,0,0
1,239,-2.98677448681431,0,0,0
2,239,-0.335068995579254,0,0,0
1,240,-5.34740059176179,0,0,0
2,240,4.07340678782814,0,0,0
1,241,7.96457051236933,0,0,0
2,241,10.6005265510314,0,0,0
1,242,2.52533676735961,0,0,0
2,242,3.68795819104507,0,0,0
