id,eta_th1_SAEM,eta_th2_SAEM,eta_th3_SAEM,eta_th4_SAEM,eta_th1_mean,eta_th2_mean,eta_th3_mean,eta_th4_mean,eta_th1_mode,eta_th2_mode,eta_th3_mode,eta_th4_mode,eta_th1_sd,eta_th2_sd,eta_th3_sd,eta_th4_sd
180,1.01618,0,0,0,1.79832,0,0,0,0.102069,0,0,0,4.98875,0,0,0
181,2.23207,0,0,0,1.83528,0,0,0,0.102069,0,0,0,4.76831,0,0,0
182,2.61731,0,0,0,2.4774,0,0,0,0.102069,0,0,0,4.67235,0,0,0
183,2.00211,0,0,0,3.61311,0,0,0,0.102069,0,0,0,5.68035,0,0,0
184,2.60475,0,0,0,3.00371,0,0,0,0.102069,0,0,0,6.16728,0,0,0
185,1.8881,0,0,0,2.19858,0,0,0,0.102069,0,0,0,4.46092,0,0,0
186,1.32483,0,0,0,0.257798,0,0,0,0.102069,0,0,0,3.86023,0,0,0
187,2.39037,0,0,0,2.66386,0,0,0,0.102069,0,0,0,4.70531,0,0,0
188,2.17301,0,0,0,2.42599,0,0,0,0.102069,0,0,0,6.31255,0,0,0
189,-5.46242,0,0,0,-5.46573,0,0,0,-5.85763,0,0,0,1.80716,0,0,0
190,2.968,0,0,0,3.26456,0,0,0,0.102069,0,0,0,5.16106,0,0,0
191,1.70902,0,0,0,2.38421,0,0,0,0.102069,0,0,0,4.66606,0,0,0
192,1.91435,0,0,0,3.47829,0,0,0,0.102068,0,0,0,4.48786,0,0,0
193,1.13224,0,0,0,1.63109,0,0,0,0.102069,0,0,0,4.3847,0,0,0
194,-6.15505,0,0,0,-5.9938,0,0,0,-6.31206,0,0,0,1.56802,0,0,0
195,2.17077,0,0,0,1.87901,0,0,0,0.102069,0,0,0,5.32383,0,0,0
196,1.81748,0,0,0,2.08908,0,0,0,0.102069,0,0,0,4.74386,0,0,0
197,2.43393,0,0,0,2.1243,0,0,0,0.102069,0,0,0,4.57417,0,0,0
198,1.48684,0,0,0,3.40358,0,0,0,0.102069,0,0,0,4.77698,0,0,0
199,1.83493,0,0,0,2.29053,0,0,0,0.102069,0,0,0,4.85075,0,0,0
200,2.09553,0,0,0,1.10423,0,0,0,0.102069,0,0,0,4.48798,0,0,0
201,-14.9262,0,0,0,-14.4,0,0,0,-13.972,0,0,0,1.21352,0,0,0
202,1.74339,0,0,0,1.64704,0,0,0,0.102069,0,0,0,3.90586,0,0,0
203,-11.828,0,0,0,-11.2421,0,0,0,-11.7591,0,0,0,0.381412,0,0,0
204,-6.57322,0,0,0,-6.71693,0,0,0,-6.84251,0,0,0,0.604713,0,0,0
205,-11.0511,0,0,0,-10.7546,0,0,0,-10.9211,0,0,0,1.31812,0,0,0
206,3.05362,0,0,0,1.57651,0,0,0,0.102069,0,0,0,4.8814,0,0,0
207,2.00778,0,0,0,1.8584,0,0,0,0.102069,0,0,0,4.70502,0,0,0
208,2.49523,0,0,0,2.08352,0,0,0,0.102068,0,0,0,4.83322,0,0,0
209,1.95511,0,0,0,0.982767,0,0,0,0.102069,0,0,0,4.5351,0,0,0
210,2.61358,0,0,0,2.2009,0,0,0,0.102068,0,0,0,4.89245,0,0,0
211,1.72712,0,0,0,2.06908,0,0,0,0.102069,0,0,0,4.80084,0,0,0
212,2.85209,0,0,0,1.86232,0,0,0,0.102069,0,0,0,4.1647,0,0,0
213,2.35148,0,0,0,1.8096,0,0,0,0.102068,0,0,0,4.80778,0,0,0
214,2.70503,0,0,0,1.2489,0,0,0,0.102069,0,0,0,4.49096,0,0,0
215,1.973,0,0,0,1.62772,0,0,0,0.102069,0,0,0,4.54871,0,0,0
216,1.9906,0,0,0,1.79788,0,0,0,0.102069,0,0,0,4.76488,0,0,0
217,1.24304,0,0,0,1.80167,0,0,0,0.102069,0,0,0,4.5986,0,0,0
218,2.40033,0,0,0,2.61917,0,0,0,0.102069,0,0,0,4.72436,0,0,0
219,2.17996,0,0,0,2.14209,0,0,0,0.102069,0,0,0,4.2938,0,0,0
220,2.23386,0,0,0,3.11782,0,0,0,0.102069,0,0,0,5.43704,0,0,0
221,1.2301,0,0,0,2.21059,0,0,0,0.102069,0,0,0,4.5438,0,0,0
222,2.61847,0,0,0,2.47872,0,0,0,0.102069,0,0,0,5.21924,0,0,0
223,1.83796,0,0,0,2.15901,0,0,0,0.102069,0,0,0,4.95464,0,0,0
224,1.46861,0,0,0,2.06787,0,0,0,0.102068,0,0,0,4.83781,0,0,0
225,2.22446,0,0,0,2.19213,0,0,0,0.102068,0,0,0,5.23366,0,0,0
226,2.31295,0,0,0,2.26831,0,0,0,0.102069,0,0,0,5.03333,0,0,0
227,2.26766,0,0,0,2.95288,0,0,0,0.102069,0,0,0,5.42838,0,0,0
228,2.46089,0,0,0,1.72023,0,0,0,0.102069,0,0,0,4.72357,0,0,0
229,-7.97231,0,0,0,-7.74015,0,0,0,-7.95363,0,0,0,1.0267,0,0,0
230,1.94285,0,0,0,2.04007,0,0,0,0.102068,0,0,0,5.81769,0,0,0
231,2.24944,0,0,0,2.02639,0,0,0,0.102069,0,0,0,3.86242,0,0,0
232,1.68473,0,0,0,3.632,0,0,0,0.102069,0,0,0,4.61183,0,0,0
233,1.50395,0,0,0,2.74177,0,0,0,0.102069,0,0,0,4.7683,0,0,0
234,1.59148,0,0,0,3.76804,0,0,0,0.102069,0,0,0,5.46207,0,0,0
235,2.70905,0,0,0,1.78532,0,0,0,0.102068,0,0,0,4.1574,0,0,0
236,1.87394,0,0,0,1.88724,0,0,0,0.102069,0,0,0,4.33745,0,0,0
237,1.96956,0,0,0,1.91388,0,0,0,0.102068,0,0,0,4.87859,0,0,0
238,-5.36428,0,0,0,-5.6884,0,0,0,-5.85763,0,0,0,1.25231,0,0,0
239,1.44896,0,0,0,3.15094,0,0,0,0.102069,0,0,0,4.93942,0,0,0
240,1.64051,0,0,0,1.63478,0,0,0,0.102069,0,0,0,5.30542,0,0,0
241,2.9658,0,0,0,1.72562,0,0,0,0.102069,0,0,0,4.63425,0,0,0
242,1.96512,0,0,0,2.07224,0,0,0,0.102069,0,0,0,5.17288,0,0,0
243,2.75869,0,0,0,2.33162,0,0,0,0.102069,0,0,0,4.35428,0,0,0
